abr,network,segment size (s),rebuffering_count,rebuffering_mean,rebuffering_std,rebuffering_skew,rebuffering_max,rebuffering_sum,qualitychange_mean,qualitychange_skew,qualitychange_count,qualitychange_sum,qualitychange_std,qualitychange_max,latency_mean,latency_std,latency_skew,latency_min,latency_median,latency_max,bitrate_mean,bitrate_std,bitrate_skew,bitrate_min,bitrate_median,bitrate_max,bw_mean,bw_std,buffer_mean,buffer_std,resolution_mean,resolution_std,resolution_skew,resolution_min,resolution_median,resolution_max
l2a,high_bandwidth,2,0,0,0,0,0,0,5013333.333,6.996824674,3,15040000,712372.4089,5635000,10.65631208,0.1166613271,4.13750837,8.83,10.665,10.668,5877300,678123.306,-6.838264611,365000,6000000,6000000,47560.57718,1279.525565,0.9971644295,0.5286735098,1070.4,82.85898104,-8.486077628,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,5270000,12.08332557,1,5270000,431735.2221,5270000,11.00869799,0.140642092,3.48185591,8.878,11.02,11.028,5964866.667,430293.6981,2.12463242,730000,6000000,6000000,47751.80471,313.3135501,1.361379195,0.6447431304,1075.2,58.78775383,2.12463242,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,4385000,5.211527036,6,26310000,911933.1055,5635000,10.36544295,0.1034742527,4.33952943,8.721,10.371,10.454,5779733.333,854328.6517,-5.052735863,365000,6000000,6000000,47485.42953,940.1759793,0.593409396,0.5632587066,1065.6,101.1376894,-6.857142857,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,5013333.333,6.996824674,3,15040000,712372.4089,5635000,10.66464094,0.1250504354,3.8964363,8.73,10.674,10.678,5877300,678123.306,-6.838264611,365000,6000000,6000000,47570.97643,985.7692785,0.9417986577,0.5275742338,1070.4,82.85898104,-8.486077628,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,5013333.333,6.996824674,3,15040000,712372.4089,5635000,10.9247953,0.1465313254,3.31120601,8.723,10.937,10.939,5877300,678123.306,-6.838264611,365000,6000000,6000000,47807.15825,630.3964207,1.200063758,0.664393964,1070.4,82.85898104,-8.486077628,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,5013333.333,6.996824674,3,15040000,712372.4089,5635000,10.67777852,0.1241294451,3.92049317,8.755,10.687,10.693,5877300,678123.306,-6.838264611,365000,6000000,6000000,47797.91582,646.024048,0.9564295302,0.5259075498,1070.4,82.85898104,-8.486077628,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,5013333.333,6.996824674,3,15040000,712372.4089,5635000,10.58608054,0.116621031,3.78974777,8.774,10.594,10.616,5877300,678123.306,-6.838264611,365000,6000000,6000000,47303.91946,1384.123783,0.7069899329,0.5619410653,1070.4,82.85898104,-8.486077628,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,5013333.333,6.996824674,3,15040000,712372.4089,5635000,10.6249396,0.1223568897,3.96866047,8.725,10.634,10.642,5877300,678123.306,-6.838264611,365000,6000000,6000000,47821.67677,309.6252474,0.9348959732,0.5327908661,1070.4,82.85898104,-8.486077628,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,3608000,6.505682886,5,18040000,730328.4072,5635000,10.45590604,0.107512326,4.45496002,8.749,10.464,10.468,5797300,744613.9106,-5.181607678,365000,6000000,6000000,47693.01342,773.3811287,0.627852349,0.5729485598,1070.4,82.85898104,-8.486077628,360,1080,1080
l2a,high_bandwidth,2,0,0,0,0,0,0,5013333.333,6.996824674,3,15040000,712372.4089,5635000,10.65618121,0.1261281511,3.86564617,8.708,10.666,10.668,5877300,678123.306,-6.838264611,365000,6000000,6000000,47693.01342,773.3811287,0.9380469799,0.5301855635,1070.4,82.85898104,-8.486077628,360,1080,1080
